factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor2,Negative,GO_Biological_Process,GO:0051306,mitotic sister chromatid separation,13/97,14/828,4.6980884635034e-12,2.81162524969665e-10,13,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007346,regulation of mitotic cell cycle,20/97,34/828,1.32577493249441e-11,7.64039183318999e-10,20,SPHK1/CDC20/UBE2C/SKA1/GTSE1/ANLN/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/MKI67/CDK1/TTK/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0033044,regulation of chromosome organization,16/97,22/828,1.62240406201523e-11,9.01593114462752e-10,16,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/TOP2A/BIRC5/DLGAP5/CENPF/AURKB/NUF2/CDK1/NCAPG/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1901990,regulation of mitotic cell cycle phase transition,18/97,28/828,1.91876832610023e-11,1.02951845359033e-09,18,CDC20/UBE2C/SKA1/GTSE1/ANLN/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/CDK1/TTK/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007091,metaphase/anaphase transition of mitotic cell cycle,13/97,15/828,3.18614110410321e-11,1.50231380544988e-09,13,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0030071,regulation of mitotic metaphase/anaphase transition,13/97,15/828,3.18614110410321e-11,1.50231380544988e-09,13,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0044784,metaphase/anaphase transition of cell cycle,13/97,15/828,3.18614110410321e-11,1.50231380544988e-09,13,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,13/97,15/828,3.18614110410321e-11,1.50231380544988e-09,13,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1901987,regulation of cell cycle phase transition,19/97,32/828,3.734482283438e-11,1.70907483324398e-09,19,CDC20/UBE2C/SKA1/GTSE1/ANLN/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/CDK1/TTK/CDT1/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007052,mitotic spindle organization,12/97,13/828,4.18593398552818e-11,1.71402981091627e-09,12,MYBL2/CDC20/PLK1/BIRC5/KIF4A/DLGAP5/KIF23/AURKB/NUF2/KIFC1/TTK/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0033047,regulation of mitotic sister chromatid segregation,12/97,13/828,4.18593398552818e-11,1.71402981091627e-09,12,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/CDK1/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051225,spindle assembly,12/97,13/828,4.18593398552818e-11,1.71402981091627e-09,12,MYBL2/CDC20/SKA1/PLK1/BIRC5/KIF4A/KIF23/AURKB/CCNB2/KIFC1/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051784,negative regulation of nuclear division,12/97,13/828,4.18593398552818e-11,1.71402981091627e-09,12,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/LIF/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051321,meiotic cell cycle,14/97,18/828,7.84177716835597e-11,3.12866801896459e-09,14,CDC20/SKA1/PLK1/TRIP13/TOP2A/NUF2/CCNB2/PTTG1/EXO1/LIF/TTK/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1902850,microtubule cytoskeleton organization involved in mitosis,13/97,16/828,1.53645311157995e-10,5.976802604046e-09,13,MYBL2/CDC20/PLK1/BIRC5/KIF4A/DLGAP5/KIF23/AURKB/NUF2/KIFC1/CDK1/TTK/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0050000,chromosome localization,12/97,14/828,2.64826848205951e-10,9.81120418591572e-09,12,KIF2C/SKA1/BIRC5/DLGAP5/CENPF/AURKB/NUF2/KIFC1/CDK1/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:2001251,negative regulation of chromosome organization,12/97,14/828,2.64826848205951e-10,9.81120418591572e-09,12,CDC20/SKA1/PLK1/BUB1B/TRIP13/TOP2A/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007080,mitotic metaphase chromosome alignment,10/97,10/828,3.18208784558958e-10,1.03809867387641e-08,10,KIF2C/SKA1/BIRC5/AURKB/NUF2/KIFC1/CDK1/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007094,mitotic spindle assembly checkpoint signaling,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0031577,spindle checkpoint signaling,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0033046,negative regulation of sister chromatid segregation,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0033048,negative regulation of mitotic sister chromatid segregation,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045839,negative regulation of mitotic nuclear division,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051985,negative regulation of chromosome segregation,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0071173,spindle assembly checkpoint signaling,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0071174,mitotic spindle checkpoint signaling,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1905819,negative regulation of chromosome separation,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:2000816,negative regulation of mitotic sister chromatid separation,11/97,12/828,3.66937191922894e-10,1.03809867387641e-08,11,CDC20/SKA1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007093,mitotic cell cycle checkpoint signaling,13/97,17/828,5.90387573646413e-10,1.6116544992874e-08,13,CDC20/SKA1/GTSE1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/CDK1/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1903046,meiotic cell cycle process,13/97,17/828,5.90387573646413e-10,1.6116544992874e-08,13,CDC20/SKA1/PLK1/TRIP13/TOP2A/NUF2/CCNB2/PTTG1/LIF/TTK/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0000075,cell cycle checkpoint signaling,14/97,20/828,8.1271789605135e-10,2.18032594182052e-08,14,CDC20/SKA1/GTSE1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/CDK1/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0000226,microtubule cytoskeleton organization,19/97,37/828,1.16720301739527e-09,3.07825066960516e-08,19,MYBL2/CDC20/KIF2C/SKA1/PLK1/KIF18B/KIF20A/BIRC5/KIF4A/DLGAP5/KIF23/AURKB/NUF2/CCNB2/KIFC1/CDK1/TTK/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0140013,meiotic nuclear division,12/97,15/828,1.19668859686563e-09,3.10341242787154e-08,12,CDC20/SKA1/PLK1/TRIP13/TOP2A/NUF2/CCNB2/PTTG1/LIF/TTK/CCNE1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051303,establishment of chromosome localization,11/97,13/828,2.15486537829478e-09,5.40801698165594e-08,11,KIF2C/SKA1/BIRC5/CENPF/AURKB/NUF2/KIFC1/CDK1/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051310,metaphase chromosome alignment,11/97,13/828,2.15486537829478e-09,5.40801698165594e-08,11,KIF2C/SKA1/BIRC5/CENPF/AURKB/NUF2/KIFC1/CDK1/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007017,microtubule-based process,20/97,42/828,2.25599512381299e-09,5.52801224692071e-08,20,MYBL2/CDC20/KIF2C/SKA1/GTSE1/PLK1/KIF18B/KIF20A/BIRC5/KIF4A/DLGAP5/KIF23/AURKB/NUF2/CCNB2/KIFC1/CDK1/TTK/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0006996,organelle organization,40/97,144/828,2.2737325437206e-09,5.52801224692071e-08,40,MYBL2/SPHK1/CDC20/UBE2C/KIF2C/MMP9/SKA1/ANLN/PLK1/KIF18B/BUB1B/TRIP13/TOP2A/KIF20A/BIRC5/KIF4A/DLGAP5/TMED3/CENPF/KIF23/AURKB/NUF2/CCNB2/HJURP/MKI67/HK2/KIFC1/CDK1/NCAPG/PTTG1/EXO1/LIF/TTK/KRT23/CDT1/CCNE1/BACE2/CDC25C/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0090307,mitotic spindle assembly,9/97,9/828,2.96151130174757e-09,7.08940243926034e-08,9,MYBL2/CDC20/PLK1/BIRC5/KIF4A/KIF23/AURKB/KIFC1/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0010948,negative regulation of cell cycle process,15/97,25/828,4.70505486940244e-09,1.1092523298167e-07,15,CDC20/SKA1/GTSE1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/CDK1/LIF/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1901991,negative regulation of mitotic cell cycle phase transition,13/97,19/828,5.5007468298057e-09,1.27748687569816e-07,13,CDC20/SKA1/GTSE1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/CDK1/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045930,negative regulation of mitotic cell cycle,13/97,20/828,1.42070862782066e-08,3.25091562483669e-07,13,CDC20/SKA1/GTSE1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/CDK1/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045132,meiotic chromosome segregation,9/97,10/828,2.67512339564452e-08,5.94488161521524e-07,9,SKA1/PLK1/TRIP13/NUF2/CCNB2/PTTG1/TTK/CCNE1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051315,attachment of mitotic spindle microtubules to kinetochore,8/97,8/828,2.72858344655394e-08,5.94488161521524e-07,8,KIF2C/SKA1/BIRC5/AURKB/NUF2/CDK1/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1905820,positive regulation of chromosome separation,8/97,8/828,2.72858344655394e-08,5.94488161521524e-07,8,CDC20/UBE2C/SKA1/BIRC5/DLGAP5/AURKB/NCAPG/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1901988,negative regulation of cell cycle phase transition,14/97,24/828,2.75084496333867e-08,5.94488161521524e-07,14,CDC20/SKA1/GTSE1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/CDK1/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0090068,positive regulation of cell cycle process,13/97,21/828,3.37101486564316e-08,7.18534127526131e-07,13,SPHK1/CDC20/UBE2C/SKA1/BIRC5/DLGAP5/KIF23/AURKB/CDK1/NCAPG/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0140694,non-membrane-bounded organelle assembly,15/97,29/828,7.47765047531955e-08,1.57232758643206e-06,15,MYBL2/CDC20/SKA1/ANLN/PLK1/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/CCNB2/KIFC1/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0019953,sexual reproduction,20/97,50/828,9.4839632692126e-08,1.96760624625264e-06,20,GAL3ST1/CDC20/TYRO3/SPINK1/SKA1/AFP/PLK1/TRIP13/TOP2A/NUF2/CCNB2/CDK1/PAQR5/PTTG1/EXO1/LIF/TTK/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045786,negative regulation of cell cycle,15/97,30/828,1.35271571551251e-07,2.76950743860193e-06,15,CDC20/SKA1/GTSE1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/CDK1/LIF/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0008608,attachment of spindle microtubules to kinetochore,8/97,9/828,2.21880419775874e-07,4.42622991245206e-06,8,KIF2C/SKA1/BIRC5/AURKB/NUF2/CDK1/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0061982,meiosis I cell cycle process,8/97,9/828,2.21880419775874e-07,4.42622991245206e-06,8,CDC20/PLK1/TRIP13/TOP2A/CCNB2/PTTG1/CCNE1/CDC25C,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1901970,positive regulation of mitotic sister chromatid separation,7/97,7/828,2.48907445513421e-07,4.90253145846687e-06,7,CDC20/UBE2C/SKA1/BIRC5/DLGAP5/AURKB/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045931,positive regulation of mitotic cell cycle,10/97,15/828,5.74595808153848e-07,1.09069892889729e-05,10,SPHK1/CDC20/UBE2C/SKA1/BIRC5/DLGAP5/CDK1/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0010639,negative regulation of organelle organization,13/97,25/828,5.74789923969008e-07,1.09069892889729e-05,13,CDC20/SKA1/PLK1/BUB1B/TRIP13/TOP2A/BIRC5/CENPF/AURKB/NUF2/LIF/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045787,positive regulation of cell cycle,13/97,25/828,5.74789923969008e-07,1.09069892889729e-05,13,SPHK1/CDC20/UBE2C/SKA1/BIRC5/DLGAP5/KIF23/AURKB/CDK1/NCAPG/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0000281,mitotic cytokinesis,8/97,10/828,1.00239716305359e-06,1.87919275386914e-05,8,CEP55/ANLN/PLK1/KIF20A/BIRC5/KIF4A/KIF23/AURKB,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1901989,positive regulation of cell cycle phase transition,9/97,13/828,1.40974476722634e-06,2.58066218565198e-05,9,CDC20/UBE2C/SKA1/BIRC5/DLGAP5/CDK1/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1901992,positive regulation of mitotic cell cycle phase transition,9/97,13/828,1.40974476722634e-06,2.58066218565198e-05,9,CDC20/UBE2C/SKA1/BIRC5/DLGAP5/CDK1/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051656,establishment of organelle localization,12/97,23/828,1.57984649960943e-06,2.85841994580497e-05,12,KIF2C/SKA1/PLK1/BIRC5/CENPF/AURKB/NUF2/KIFC1/CDK1/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007143,female meiotic nuclear division,7/97,8/828,1.80025872284859e-06,3.21977307212921e-05,7,SKA1/PLK1/TRIP13/TOP2A/CCNB2/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007127,meiosis I,6/97,6/828,2.24837274958277e-06,3.97553181630771e-05,6,PLK1/TRIP13/TOP2A/CCNB2/PTTG1/CCNE1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0044839,cell cycle G2/M phase transition,10/97,17/828,3.03574835552451e-06,5.30744319235521e-05,10,PLK1/BIRC5/CENPF/AURKB/CCNB2/CDK1/MELK/FOXM1/CDC25C/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0061640,cytoskeleton-dependent cytokinesis,8/97,11/828,3.32104714614021e-06,5.74172151043796e-05,8,CEP55/ANLN/PLK1/KIF20A/BIRC5/KIF4A/KIF23/AURKB,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0006259,DNA metabolic process,15/97,37/828,4.03710396385056e-06,6.90300414038624e-05,15,SPHK1/PLK1/TRIP13/TOP2A/CENPF/AURKB/CDK1/MCM10/PTTG1/FOXM1/EXO1/CDT1/CCNE1/UHRF1/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051640,organelle localization,13/97,29/828,5.00053872836978e-06,8.45743289276454e-05,13,KIF2C/SKA1/PLK1/BIRC5/DLGAP5/CENPF/AURKB/NUF2/KIFC1/CDK1/TTK/CDT1/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0033043,regulation of organelle organization,21/97,67/828,5.3517591996532e-06,8.9541261447961e-05,21,SPHK1/CDC20/UBE2C/MMP9/SKA1/PLK1/BUB1B/TRIP13/TOP2A/BIRC5/DLGAP5/CENPF/AURKB/NUF2/MKI67/CDK1/NCAPG/LIF/TTK/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0000086,G2/M transition of mitotic cell cycle,9/97,15/828,8.05209230217499e-06,0.000133287825767918,9,PLK1/BIRC5/CENPF/AURKB/CDK1/MELK/FOXM1/CDC25C/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0000910,cytokinesis,8/97,12/828,9.00273290640875e-06,0.000147455288446021,8,CEP55/ANLN/PLK1/KIF20A/BIRC5/KIF4A/KIF23/AURKB,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0070925,organelle assembly,15/97,40/828,1.28101727788709e-05,0.000207631550457532,15,MYBL2/CDC20/SKA1/ANLN/PLK1/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/CCNB2/KIFC1/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051984,positive regulation of chromosome segregation,6/97,7/828,1.42451645739989e-05,0.000228510062650951,6,SKA1/BIRC5/AURKB/CDK1/NCAPG/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0022414,reproductive process,24/97,89/828,1.95064156109137e-05,0.000309714109087568,24,SPP1/GAL3ST1/CDC20/TYRO3/SPINK1/MMP9/SKA1/AFP/PLK1/TRIP13/TOP2A/NUF2/CCNB2/CA12/CDK1/PAQR5/PTTG1/EXO1/LIF/TTK/CCNE1/CDC25C/SKA3/DDR1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,5/97,5/828,2.01131605750719e-05,0.000312960778548119,5,CDC20/UBE2C/SKA1/DLGAP5/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1902101,positive regulation of metaphase/anaphase transition of cell cycle,5/97,5/828,2.01131605750719e-05,0.000312960778548119,5,CDC20/UBE2C/SKA1/DLGAP5/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007276,gamete generation,14/97,38/828,3.29436239565942e-05,0.000507527513628322,14,GAL3ST1/TYRO3/SPINK1/SKA1/AFP/PLK1/TRIP13/TOP2A/CCNB2/PAQR5/PTTG1/TTK/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0048609,multicellular organismal reproductive process,17/97,53/828,3.55972824814102e-05,0.000543033054324258,17,SPP1/GAL3ST1/TYRO3/SPINK1/SKA1/AFP/PLK1/TRIP13/TOP2A/CCNB2/CA12/PAQR5/PTTG1/LIF/TTK/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0045840,positive regulation of mitotic nuclear division,6/97,8/828,5.15798821274497e-05,0.000779206763012735,6,SPHK1/CDC20/UBE2C/SKA1/DLGAP5/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0035556,intracellular signal transduction,35/97,165/828,5.47770428900483e-05,0.000819548834008799,35,SPHK1/CD24/EPS8L3/DEPDC1B/CDC20/CCL20/TYRO3/CEP55/SPINK1/MMP9/SKA1/GTSE1/PLK1/BUB1B/TRIP13/BIRC5/CENPF/AURKB/NUF2/PYCR1/ARFGEF3/MAPK13/CDK1/DUSP9/MELK/FOXM1/SOX4/LIF/TTK/CDT1/SKA3/DEPDC1/ITPR3/DDR1/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007292,female gamete generation,9/97,18/828,5.76582515114429e-05,0.000854440374779097,9,SKA1/AFP/PLK1/TRIP13/TOP2A/CCNB2/PAQR5/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0006974,DNA damage response,12/97,32/828,0.000105580403270389,0.00154984063668609,12,EGLN3/GTSE1/PLK1/TRIP13/TOP2A/CDK1/MCM10/PTTG1/FOXM1/EXO1/SOX4/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0032465,regulation of cytokinesis,5/97,6/828,0.000109437099702518,0.00157670488089924,5,PLK1/KIF20A/BIRC5/KIF23/AURKB,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:2001252,positive regulation of chromosome organization,5/97,6/828,0.000109437099702518,0.00157670488089924,5,SKA1/AURKB/CDK1/NCAPG/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051785,positive regulation of nuclear division,6/97,9/828,0.000140090480815142,0.00199982374448038,6,SPHK1/CDC20/UBE2C/SKA1/DLGAP5/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0016043,cellular component organization,54/97,316/828,0.000150080881669396,0.00212296228979619,54,MYBL2/SPP1/SPHK1/PEG10/CD24/EPS8L3/SPINT1/CDC20/CTHRC1/UBE2C/CEP55/KIF2C/MMP9/SKA1/ANLN/PLK1/KIF18B/BUB1B/TRIP13/MMP11/TOP2A/MELTF/KIF20A/BIRC5/KIF4A/DLGAP5/TMED3/CENPF/KIF23/AURKB/NUF2/CCNB2/HJURP/MKI67/HK2/KIFC1/CDK1/NCAPG/PTTG1/MELK/EXO1/LIF/SUSD4/TTK/KRT23/CDT1/CCNE1/BACE2/CDC25C/SKA3/UHRF1/PAPLN/ITPR3/DDR1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0071840,cellular component organization or biogenesis,54/97,317/828,0.00016639259348699,0.00233249437356538,54,MYBL2/SPP1/SPHK1/PEG10/CD24/EPS8L3/SPINT1/CDC20/CTHRC1/UBE2C/CEP55/KIF2C/MMP9/SKA1/ANLN/PLK1/KIF18B/BUB1B/TRIP13/MMP11/TOP2A/MELTF/KIF20A/BIRC5/KIF4A/DLGAP5/TMED3/CENPF/KIF23/AURKB/NUF2/CCNB2/HJURP/MKI67/HK2/KIFC1/CDK1/NCAPG/PTTG1/MELK/EXO1/LIF/SUSD4/TTK/KRT23/CDT1/CCNE1/BACE2/CDC25C/SKA3/UHRF1/PAPLN/ITPR3/DDR1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051649,establishment of localization in cell,18/97,66/828,0.000229295870023469,0.00318557476568319,18,CD24/TYRO3/KIF2C/SKA1/PLK1/BIRC5/KIF4A/TMED3/CENPF/AURKB/NUF2/KIFC1/CDK1/SUSD4/TTK/CDT1/SLC29A4/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007018,microtubule-based movement,7/97,13/828,0.000233485208914593,0.00321507066434608,7,KIF2C/KIF18B/KIF20A/KIF4A/DLGAP5/KIF23/KIFC1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0036211,protein modification process,26/97,115/828,0.000241220187720818,0.00326381401820515,26,SPHK1/CD24/GAL3ST1/CDC20/TYRO3/UBE2C/EGLN3/MMP9/PLK1/B3GNT3/BIRC5/AURKB/NEURL3/MAPK13/CDK1/DUSP9/MELK/SOX4/LIF/TTK/CCNE1/CDC25C/UHRF1/CDKN3/DDR1/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0043412,macromolecule modification,26/97,115/828,0.000241220187720818,0.00326381401820515,26,SPHK1/CD24/GAL3ST1/CDC20/TYRO3/UBE2C/EGLN3/MMP9/PLK1/B3GNT3/BIRC5/AURKB/NEURL3/MAPK13/CDK1/DUSP9/MELK/SOX4/LIF/TTK/CCNE1/CDC25C/UHRF1/CDKN3/DDR1/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0034502,protein localization to chromosome,5/97,7/828,0.000347416937523815,0.00466017892057807,5,PLK1/BUB1B/AURKB/CDK1/TTK,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007010,cytoskeleton organization,21/97,87/828,0.000428535405119358,0.00569915461851044,21,MYBL2/CDC20/KIF2C/SKA1/ANLN/PLK1/KIF18B/KIF20A/BIRC5/KIF4A/DLGAP5/KIF23/AURKB/NUF2/CCNB2/KIFC1/CDK1/TTK/KRT23/SKA3/UHRF1,Robust Supported
